date,game,market,pick,line,proj,edge,book,odds,stake,result,profit
2026-03-07,Orlando Magic @ Minnesota Timberwolves,SPREAD,Magic +6.5,6.5,Orlando Magic -1.1,5.4,BetUS,1.91,0.5,Win,0.45
2026-03-07,Orlando Magic @ Minnesota Timberwolves,TOTAL,OVER 224.0,224.0,243.4,19.4,BetUS,1.91,1.0,Loss,-1.0
2026-03-07,Philadelphia 76ers @ Atlanta Hawks,SPREAD,76ers +6.5,6.5,Philadelphia 76ers -2.9,3.6,BetMGM,1.91,0.0,Loss,-0.0
2026-03-07,Utah Jazz @ Milwaukee Bucks,SPREAD,Jazz +10.0,10.0,Utah Jazz -5.4,4.6,Caesars,1.91,0.0,Loss,-0.0
2026-03-07,Utah Jazz @ Milwaukee Bucks,TOTAL,UNDER 234.0,234.0,228.4,5.6,Caesars,1.91,0.5,Win,0.45
2026-03-07,Golden State Warriors @ Oklahoma City Thunder,SPREAD,Warriors +14.5,14.5,Golden State Warriors -3.8,10.7,Bovada,1.91,1.0,Win,0.91
