date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,home_ml_prob,away_ml_prob,home_ml_edge,away_ml_edge,ml_candidate,grade,edge_pct,council_recommendation,council_score,council_grade,publish,reason
2026-04-12,Atlanta Hawks @ Miami Heat,MONEYLINE,Atlanta Hawks ML,,48.1% win prob,11.1,Caesars,2.7,1.0,Pending,0,,0.5186,0.4814,-12.25,11.11,Atlanta Hawks ML,A,81.2,support,0.8119,A,true,NBA wager: Atlanta Hawks @ Miami Heat — Atlanta Hawks ML — Caesars
2026-04-12,Atlanta Hawks @ Miami Heat,SPREAD,Hawks +4.5,4.5,Atlanta Hawks by 4.6,9.1,BetRivers,1.92,1.0,Pending,0,,0.5186,0.4814,-12.25,11.11,Atlanta Hawks ML,A,91.3,support,0.9125,A,true,NBA wager: Atlanta Hawks @ Miami Heat — Hawks +4.5 — BetRivers
2026-04-12,Atlanta Hawks @ Miami Heat,TOTAL,OVER 242.0,242.0,247.2,5.2,BetRivers,1.91,0.0,Pending,0,,0.5186,0.4814,-12.25,11.11,Atlanta Hawks ML,C,58.8,support,0.5880,C,false,NBA wager: Atlanta Hawks @ Miami Heat — OVER 242.0 — BetRivers
2026-04-12,Orlando Magic @ Boston Celtics,SPREAD,Celtics +12.5,12.5,Boston Celtics by 2.3,10.2,LowVig.ag,1.96,0.5,Pending,0,,0.6254,0.3746,47.39,-50.26,,B,71.4,support,0.7144,B,true,NBA wager: Orlando Magic @ Boston Celtics — Celtics +12.5 — LowVig.ag
2026-04-12,Orlando Magic @ Boston Celtics,TOTAL,OVER 221.0,221.0,227.1,6.1,LowVig.ag,1.88,0.0,Pending,0,,0.6254,0.3746,47.39,-50.26,,C,39.3,support,0.3934,PASS,false,NBA wager: Orlando Magic @ Boston Celtics — OVER 221.0 — LowVig.ag
2026-04-12,Brooklyn Nets @ Toronto Raptors,SPREAD,Nets +23.5,23.5,Brooklyn Nets by 7.9,15.6,Caesars,1.91,0.5,Pending,0,,0.9348,0.0652,-4.56,2.67,,B,71.4,support,0.7144,B,true,NBA wager: Brooklyn Nets @ Toronto Raptors — Nets +23.5 — Caesars
2026-04-12,Brooklyn Nets @ Toronto Raptors,TOTAL,OVER 219.5,219.5,231.4,11.9,Caesars,1.91,0.5,Pending,0,,0.9348,0.0652,-4.56,2.67,,B,71.4,support,0.7144,B,true,NBA wager: Brooklyn Nets @ Toronto Raptors — OVER 219.5 — Caesars
2026-04-12,Charlotte Hornets @ New York Knicks,SPREAD,Knicks +13.5,13.5,New York Knicks by 3.9,9.6,FanDuel,1.91,0.5,Pending,0,,0.5509,0.4491,40.29,-43.58,,B,71.4,support,0.7144,B,true,NBA wager: Charlotte Hornets @ New York Knicks — Knicks +13.5 — FanDuel
2026-04-12,Charlotte Hornets @ New York Knicks,TOTAL,UNDER 217.5,217.5,212.6,4.9,FanDuel,1.88,0.0,Pending,0,,0.5509,0.4491,40.29,-43.58,,C,58.8,support,0.5880,C,false,NBA wager: Charlotte Hornets @ New York Knicks — UNDER 217.5 — FanDuel
2026-04-12,Washington Wizards @ Cleveland Cavaliers,MONEYLINE,Cleveland Cavaliers ML,,98.4% win prob,13.6,FanDuel,1.18,0.0,Pending,0,,0.9836,0.0164,13.62,-17.06,Cleveland Cavaliers ML,C,59.1,support,0.5912,C,false,NBA wager: Washington Wizards @ Cleveland Cavaliers — Cleveland Cavaliers ML — FanDuel
2026-04-12,Washington Wizards @ Cleveland Cavaliers,TOTAL,OVER 235.5,235.5,241.1,5.6,Caesars,1.91,0.0,Pending,0,,0.9836,0.0164,13.62,-17.06,Cleveland Cavaliers ML,C,39.3,support,0.3934,PASS,false,NBA wager: Washington Wizards @ Cleveland Cavaliers — OVER 235.5 — Caesars
2026-04-12,Detroit Pistons @ Indiana Pacers,SPREAD,Pacers +14.0,14.0,Indiana Pacers by 1.7,12.3,BetUS,1.91,0.5,Pending,0,,0.6505,0.3495,51.84,-54.34,,B,71.4,support,0.7144,B,true,NBA wager: Detroit Pistons @ Indiana Pacers — Pacers +14.0 — BetUS
2026-04-12,Detroit Pistons @ Indiana Pacers,TOTAL,OVER 229.5,229.5,242.1,12.6,BetUS,1.91,0.5,Pending,0,,0.6505,0.3495,51.84,-54.34,,B,71.4,support,0.7144,B,true,NBA wager: Detroit Pistons @ Indiana Pacers — OVER 229.5 — BetUS
2026-04-12,Milwaukee Bucks @ Philadelphia 76ers,SPREAD,Bucks +15.0,15.0,Milwaukee Bucks by 9.2,5.8,BetRivers,1.92,0.0,Pending,0,,0.9527,0.0473,3.53,-6.26,,C,39.3,support,0.3934,PASS,false,NBA wager: Milwaukee Bucks @ Philadelphia 76ers — Bucks +15.0 — BetRivers
2026-04-12,Chicago Bulls @ Dallas Mavericks,SPREAD,Bulls +6.5,6.5,Chicago Bulls by 1.2,5.3,Caesars,1.91,0.0,Pending,0,,0.7685,0.2315,5.93,-8.3,,C,59.9,support,0.5988,C,false,NBA wager: Chicago Bulls @ Dallas Mavericks — Bulls +6.5 — Caesars
2026-04-12,Chicago Bulls @ Dallas Mavericks,TOTAL,UNDER 248.5,248.5,236.8,11.7,Caesars,1.91,1.0,Pending,0,,0.7685,0.2315,5.93,-8.3,,A,91.0,support,0.9103,A,true,NBA wager: Chicago Bulls @ Dallas Mavericks — UNDER 248.5 — Caesars
2026-04-12,Denver Nuggets @ San Antonio Spurs,SPREAD,Nuggets +11.0,11.0,Denver Nuggets by 1.8,9.2,BetUS,1.91,0.5,Pending,0,,0.7893,0.2107,-3.71,1.46,,B,73.1,support,0.7309,B,true,NBA wager: Denver Nuggets @ San Antonio Spurs — Nuggets +11.0 — BetUS
2026-04-12,Denver Nuggets @ San Antonio Spurs,TOTAL,OVER 232.5,232.5,241.5,9.0,BetUS,1.91,0.0,Pending,0,,0.7893,0.2107,-3.71,1.46,,C,53.5,support,0.5345,PASS,false,NBA wager: Denver Nuggets @ San Antonio Spurs — OVER 232.5 — BetUS
2026-04-12,Golden State Warriors @ Los Angeles Clippers,SPREAD,Warriors +6.5,6.5,Golden State Warriors by 1.9,4.6,Caesars,1.91,0.0,Pending,0,,0.7925,0.2075,8.33,-9.56,,C,59.9,support,0.5988,C,false,NBA wager: Golden State Warriors @ Los Angeles Clippers — Warriors +6.5 — Caesars
