date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,home_ml_prob,away_ml_prob,home_ml_edge,away_ml_edge,ml_candidate
2026-04-08,Atlanta Hawks @ Cleveland Cavaliers,SPREAD,Cavaliers -1.5,-1.5,Cleveland Cavaliers by 5.3,3.8,Caesars,1.91,0.0,Pending,0,,0.8874,0.1126,34.68,-37.28,
2026-04-08,Atlanta Hawks @ Cleveland Cavaliers,TOTAL,UNDER 236.0,236.0,229.2,6.8,Caesars,1.91,0.5,Pending,0,,0.8874,0.1126,34.68,-37.28,
2026-04-08,Milwaukee Bucks @ Detroit Pistons,SPREAD,Bucks +19.5,19.5,Milwaukee Bucks by 12.0,7.5,Bovada,1.91,0.5,Pending,0,,0.9771,0.0229,2.47,-4.85,
2026-04-08,Milwaukee Bucks @ Detroit Pistons,TOTAL,OVER 221.5,221.5,232.5,11.0,Bovada,1.91,1.0,Pending,0,,0.9771,0.0229,2.47,-4.85,
2026-04-08,Minnesota Timberwolves @ Orlando Magic,SPREAD,Timberwolves +7.5,7.5,Minnesota Timberwolves by 2.3,5.2,Caesars,1.95,0.5,Pending,0,,0.8043,0.1957,9.0,-10.28,
2026-04-08,Portland Trail Blazers @ San Antonio Spurs,SPREAD,Spurs -3.5,-3.5,San Antonio Spurs by 11.3,7.8,Caesars,1.91,0.5,Pending,0,,0.9727,0.0273,36.66,-38.94,
2026-04-08,Memphis Grizzlies @ Denver Nuggets,SPREAD,Grizzlies +23.0,23.0,Memphis Grizzlies by 7.9,15.1,Fanatics,1.91,1.0,Pending,0,,0.9356,0.0644,-3.53,1.44,
2026-04-08,Memphis Grizzlies @ Denver Nuggets,TOTAL,UNDER 244.0,244.0,226.2,17.8,Fanatics,1.91,1.0,Pending,0,,0.9356,0.0644,-3.53,1.44,
2026-04-08,Dallas Mavericks @ Phoenix Suns,SPREAD,Mavericks +10.5,10.5,Dallas Mavericks by 1.7,12.2,Caesars,1.95,1.0,Pending,0,,0.6509,0.3491,-18.25,16.05,
2026-04-08,Dallas Mavericks @ Phoenix Suns,TOTAL,UNDER 231.5,231.5,228.5,3.0,Caesars,1.91,0.0,Pending,0,,0.6509,0.3491,-18.25,16.05,
2026-04-08,Oklahoma City Thunder @ Los Angeles Clippers,SPREAD,Clippers +6.5,6.5,Los Angeles Clippers by 2.0,8.5,DraftKings,1.95,0.5,Pending,0,,0.7952,0.2048,48.75,-50.95,
2026-04-08,Oklahoma City Thunder @ Los Angeles Clippers,TOTAL,UNDER 227.0,227.0,221.4,5.6,DraftKings,1.93,0.5,Pending,0,,0.7952,0.2048,48.75,-50.95,
